,Origin City,Origin Airport,Destination City,Destination Airport,Date,Route Number,Distance (km),Price
66,LISBON,LIS,SPLIT,SPU,2025/07/17,1,2198.11,212.77
67,BARCELONA,BCN,IBIZA,IBZ,2025/07/05,1,276.1,72.88
68,IBIZA,IBZ,SPLIT,SPU,2025/07/09,1,1352.3,205.65
69,PARIS,CDG,LISBON,LIS,2025/07/01,1,1452.72,140.11
70,LISBON,LIS,SPLIT,SPU,2025/07/05,1,2198.11,202.32
71,SPLIT,SPU,BARCELONA,BCN,2025/07/09,1,1193.56,108.01
72,LISBON,LIS,BARCELONA,BCN,2025/07/05,1,1005.14,60.62
73,BARCELONA,BCN,SPLIT,SPU,2025/07/09,1,1193.56,158.58
74,LISBON,LIS,BERLIN,BER,2025/07/05,1,2312.83,141.12
75,SPLIT,SPU,BARCELONA,BCN,2025/07/13,1,1193.56,98.00
76,BARCELONA,BCN,SPLIT,SPU,2025/07/13,1,1193.56,159.58
77,SPLIT,SPU,BARCELONA,BCN,2025/07/17,1,1193.56,172.95
78,BARCELONA,BCN,SPLIT,SPU,2025/07/17,1,1193.56,172.32
79,LISBON,LIS,IBIZA,IBZ,2025/07/05,1,912.17,89.98
80,PARIS,CDG,BERLIN,BER,2025/07/01,1,878.4,150.93
81,BERLIN,BER,SPLIT,SPU,2025/07/05,1,1027.23,105.75
82,BERLIN,BER,BARCELONA,BCN,2025/07/05,1,1500.32,146.58
83,BERLIN,BER,LISBON,LIS,2025/07/05,1,2312.83,145.42
84,BERLIN,BER,IBIZA,IBZ,2025/07/05,1,1766.37,160.06
85,PARIS,CDG,IBIZA,IBZ,2025/07/01,1,1101.1,178.25
86,IBIZA,IBZ,SPLIT,SPU,2025/07/05,1,1352.3,195.44
87,IBIZA,IBZ,BARCELONA,BCN,2025/07/05,1,276.1,73.64
88,IBIZA,IBZ,LISBON,LIS,2025/07/05,1,912.17,75.55
89,IBIZA,IBZ,BERLIN,BER,2025/07/05,1,1766.37,142.06
90,PARIS,CDG,SPLIT,SPU,2025/08/01,2,1234.2,182.15
91,SPLIT,SPU,BARCELONA,BCN,2025/08/05,2,1193.56,169.95
92,BARCELONA,BCN,LISBON,LIS,2025/08/09,2,1005.14,126.34
93,LISBON,LIS,BERLIN,BER,2025/08/13,2,2312.83,165.62
94,BERLIN,BER,IBIZA,IBZ,2025/08/17,2,1766.37,110.42
95,IBIZA,IBZ,PARIS,CDG,2025/08/21,2,1101.1,215.65
96,LISBON,LIS,IBIZA,IBZ,2025/08/13,2,912.17,197.24
97,IBIZA,IBZ,BERLIN,BER,2025/08/17,2,1766.37,107.32
98,BERLIN,BER,PARIS,CDG,2025/08/21,2,878.4,199.06
99,BARCELONA,BCN,BERLIN,BER,2025/08/09,2,1500.32,188.45
100,BERLIN,BER,LISBON,LIS,2025/08/13,2,2312.83,158.24
101,LISBON,LIS,IBIZA,IBZ,2025/08/17,2,912.17,197.24
102,BERLIN,BER,IBIZA,IBZ,2025/08/13,2,1766.37,145.03
103,IBIZA,IBZ,LISBON,LIS,2025/08/17,2,912.17,195.44
104,LISBON,LIS,PARIS,CDG,2025/08/21,2,1452.72,161.12
105,BARCELONA,BCN,IBIZA,IBZ,2025/08/09,2,276.1,104.98
106,IBIZA,IBZ,LISBON,LIS,2025/08/13,2,912.17,124.55
107,LISBON,LIS,BERLIN,BER,2025/08/17,2,2312.83,195.09
108,IBIZA,IBZ,BERLIN,BER,2025/08/13,2,1766.37,141.93
109,BERLIN,BER,LISBON,LIS,2025/08/17,2,2312.83,198.57
110,SPLIT,SPU,LISBON,LIS,2025/08/05,2,2198.11,173.62
111,LISBON,LIS,BARCELONA,BCN,2025/08/09,2,1005.14,150.63
112,BARCELONA,BCN,BERLIN,BER,2025/08/13,2,1500.32,132.84
113,BARCELONA,BCN,IBIZA,IBZ,2025/08/13,2,276.1,311.98
114,LISBON,LIS,BERLIN,BER,2025/08/09,2,2312.83,199.66
115,BERLIN,BER,BARCELONA,BCN,2025/08/13,2,1500.32,171.03
116,BARCELONA,BCN,IBIZA,IBZ,2025/08/17,2,276.1,194.98
117,IBIZA,IBZ,BARCELONA,BCN,2025/08/17,2,276.1,216.74
118,BARCELONA,BCN,PARIS,CDG,2025/08/21,2,830.16,215.70
119,LISBON,LIS,IBIZA,IBZ,2025/08/09,2,912.17,149.98
120,IBIZA,IBZ,BARCELONA,BCN,2025/08/13,2,276.1,132.74
121,BARCELONA,BCN,BERLIN,BER,2025/08/17,2,1500.32,165.95
122,BERLIN,BER,BARCELONA,BCN,2025/08/17,2,1500.32,183.04
123,SPLIT,SPU,BERLIN,BER,2025/08/05,2,1027.23,102.97
124,BERLIN,BER,BARCELONA,BCN,2025/08/09,2,1500.32,177.57
125,BARCELONA,BCN,LISBON,LIS,2025/08/13,2,1005.14,195.46
126,BERLIN,BER,LISBON,LIS,2025/08/09,2,2312.83,193.04
127,LISBON,LIS,BARCELONA,BCN,2025/08/13,2,1005.14,131.12
128,BERLIN,BER,IBIZA,IBZ,2025/08/09,2,1766.37,162.14
129,BARCELONA,BCN,LISBON,LIS,2025/08/17,2,1005.14,161.68
130,LISBON,LIS,BARCELONA,BCN,2025/08/17,2,1005.14,131.12
131,SPLIT,SPU,IBIZA,IBZ,2025/08/05,2,1352.3,169.33
132,IBIZA,IBZ,BARCELONA,BCN,2025/08/09,2,276.1,184.74
133,IBIZA,IBZ,LISBON,LIS,2025/08/09,2,912.17,195.44
134,IBIZA,IBZ,BERLIN,BER,2025/08/09,2,1766.37,164.43
135,PARIS,CDG,BARCELONA,BCN,2025/08/01,2,830.16,127.77
136,BARCELONA,BCN,SPLIT,SPU,2025/08/05,2,1193.56,166.32
137,SPLIT,SPU,LISBON,LIS,2025/08/09,2,2198.11,195.09
138,SPLIT,SPU,BERLIN,BER,2025/08/09,2,1027.23,102.97
139,SPLIT,SPU,IBIZA,IBZ,2025/08/09,2,1352.3,187.86
140,BARCELONA,BCN,LISBON,LIS,2025/08/05,2,1005.14,153.44
141,LISBON,LIS,SPLIT,SPU,2025/08/09,2,2198.11,177.66
142,SPLIT,SPU,BERLIN,BER,2025/08/13,2,1027.23,127.58
143,SPLIT,SPU,IBIZA,IBZ,2025/08/13,2,1352.3,169.33
144,BERLIN,BER,SPLIT,SPU,2025/08/13,2,1027.23,129.03
145,SPLIT,SPU,IBIZA,IBZ,2025/08/17,2,1352.3,183.08
146,IBIZA,IBZ,SPLIT,SPU,2025/08/17,2,1352.3,190.12
147,SPLIT,SPU,PARIS,CDG,2025/08/21,2,1234.2,184.77
148,IBIZA,IBZ,SPLIT,SPU,2025/08/13,2,1352.3,205.65
149,SPLIT,SPU,BERLIN,BER,2025/08/17,2,1027.23,127.58
150,BERLIN,BER,SPLIT,SPU,2025/08/17,2,1027.23,141.04
151,BARCELONA,BCN,BERLIN,BER,2025/08/05,2,1500.32,132.84
152,BERLIN,BER,SPLIT,SPU,2025/08/09,2,1027.23,105.75
153,SPLIT,SPU,LISBON,LIS,2025/08/13,2,2198.11,188.33
154,LISBON,LIS,SPLIT,SPU,2025/08/13,2,2198.11,177.66
155,SPLIT,SPU,LISBON,LIS,2025/08/17,2,2198.11,183.08
156,LISBON,LIS,SPLIT,SPU,2025/08/17,2,2198.11,177.66
157,BARCELONA,BCN,IBIZA,IBZ,2025/08/05,2,276.1,121.98
158,IBIZA,IBZ,SPLIT,SPU,2025/08/09,2,1352.3,183.43
159,PARIS,CDG,LISBON,LIS,2025/08/01,2,1452.72,140.11
160,LISBON,LIS,SPLIT,SPU,2025/08/05,2,2198.11,173.35
161,SPLIT,SPU,BARCELONA,BCN,2025/08/09,2,1193.56,169.95
162,LISBON,LIS,BARCELONA,BCN,2025/08/05,2,1005.14,123.63
163,BARCELONA,BCN,SPLIT,SPU,2025/08/09,2,1193.56,173.45
164,LISBON,LIS,BERLIN,BER,2025/08/05,2,2312.83,165.62
165,SPLIT,SPU,BARCELONA,BCN,2025/08/13,2,1193.56,108.01
166,BARCELONA,BCN,SPLIT,SPU,2025/08/13,2,1193.56,180.14
167,SPLIT,SPU,BARCELONA,BCN,2025/08/17,2,1193.56,98.00
168,BARCELONA,BCN,SPLIT,SPU,2025/08/17,2,1193.56,166.32
169,LISBON,LIS,IBIZA,IBZ,2025/08/05,2,912.17,149.98
170,PARIS,CDG,BERLIN,BER,2025/08/01,2,878.4,168.94
171,BERLIN,BER,SPLIT,SPU,2025/08/05,2,1027.23,105.75
172,BERLIN,BER,BARCELONA,BCN,2025/08/05,2,1500.32,171.03
173,BERLIN,BER,LISBON,LIS,2025/08/05,2,2312.83,181.03
174,BERLIN,BER,IBIZA,IBZ,2025/08/05,2,1766.37,150.57
175,PARIS,CDG,IBIZA,IBZ,2025/08/01,2,1101.1,178.25
176,IBIZA,IBZ,SPLIT,SPU,2025/08/05,2,1352.3,195.44
177,IBIZA,IBZ,BARCELONA,BCN,2025/08/05,2,276.1,111.74
178,IBIZA,IBZ,LISBON,LIS,2025/08/05,2,912.17,169.55
179,IBIZA,IBZ,BERLIN,BER,2025/08/05,2,1766.37,141.93
180,PARIS,CDG,NICE,NCE,2025/07/01,3,685.8,169.83
181,NICE,NCE,MAJORCA,PMI,2025/07/05,3,582.39,179.22
182,MAJORCA,PMI,MYKONOS,JMK,2025/07/09,3,1966.68,265.89
183,MYKONOS,JMK,IBIZA,IBZ,2025/07/13,3,2096.16,169.81
184,IBIZA,IBZ,ROME,FCO,2025/07/17,3,993.92,95.55
185,ROME,FCO,PARIS,CDG,2025/07/21,3,1106.97,100.99
186,MYKONOS,JMK,ROME,FCO,2025/07/13,3,1205.72,141.10
187,ROME,FCO,IBIZA,IBZ,2025/07/17,3,993.92,153.15
188,IBIZA,IBZ,PARIS,CDG,2025/07/21,3,1101.1,177.32
189,MAJORCA,PMI,IBIZA,IBZ,2025/07/09,3,146.06,49.78
190,IBIZA,IBZ,MYKONOS,JMK,2025/07/13,3,2096.16,532.26
191,MYKONOS,JMK,ROME,FCO,2025/07/17,3,1205.72,141.10
192,IBIZA,IBZ,ROME,FCO,2025/07/13,3,993.92,102.53
193,ROME,FCO,MYKONOS,JMK,2025/07/17,3,1205.72,151.98
194,MYKONOS,JMK,PARIS,CDG,2025/07/21,3,2243.97,156.10
195,MAJORCA,PMI,ROME,FCO,2025/07/09,3,849.14,66.32
196,ROME,FCO,MYKONOS,JMK,2025/07/13,3,1205.72,186.85
197,MYKONOS,JMK,IBIZA,IBZ,2025/07/17,3,2096.16,209.49
198,ROME,FCO,IBIZA,IBZ,2025/07/13,3,993.92,119.35
199,IBIZA,IBZ,MYKONOS,JMK,2025/07/17,3,2096.16,212.05
200,NICE,NCE,MYKONOS,JMK,2025/07/05,3,1676.01,178.54
201,MYKONOS,JMK,MAJORCA,PMI,2025/07/09,3,1966.68,183.56
202,MAJORCA,PMI,IBIZA,IBZ,2025/07/13,3,146.06,57.78
203,MAJORCA,PMI,ROME,FCO,2025/07/13,3,849.14,93.15
204,MYKONOS,JMK,IBIZA,IBZ,2025/07/09,3,2096.16,211.18
205,IBIZA,IBZ,MAJORCA,PMI,2025/07/13,3,146.06,57.46
206,MAJORCA,PMI,ROME,FCO,2025/07/17,3,849.14,66.32
207,ROME,FCO,MAJORCA,PMI,2025/07/17,3,849.14,110.53
208,MAJORCA,PMI,PARIS,CDG,2025/07/21,3,1028.31,178.18
209,MYKONOS,JMK,ROME,FCO,2025/07/09,3,1205.72,141.10
210,ROME,FCO,MAJORCA,PMI,2025/07/13,3,849.14,105.46
211,MAJORCA,PMI,IBIZA,IBZ,2025/07/17,3,146.06,57.78
212,IBIZA,IBZ,MAJORCA,PMI,2025/07/17,3,146.06,57.52
213,NICE,NCE,IBIZA,IBZ,2025/07/05,3,718.18,182.29
214,IBIZA,IBZ,MAJORCA,PMI,2025/07/09,3,146.06,49.52
215,MAJORCA,PMI,MYKONOS,JMK,2025/07/13,3,1966.68,322.32
216,IBIZA,IBZ,MYKONOS,JMK,2025/07/09,3,2096.16,274.88
217,MYKONOS,JMK,MAJORCA,PMI,2025/07/13,3,1966.68,200.65
218,IBIZA,IBZ,ROME,FCO,2025/07/09,3,993.92,95.55
219,MAJORCA,PMI,MYKONOS,JMK,2025/07/17,3,1966.68,216.91
220,MYKONOS,JMK,MAJORCA,PMI,2025/07/17,3,1966.68,204.02
221,NICE,NCE,ROME,FCO,2025/07/05,3,472.86,71.68
222,ROME,FCO,MAJORCA,PMI,2025/07/09,3,849.14,105.46
223,ROME,FCO,MYKONOS,JMK,2025/07/09,3,1205.72,200.98
224,ROME,FCO,IBIZA,IBZ,2025/07/09,3,993.92,119.35
225,PARIS,CDG,MAJORCA,PMI,2025/07/01,3,1028.31,164.25
226,MAJORCA,PMI,NICE,NCE,2025/07/05,3,582.39,128.84
227,NICE,NCE,MYKONOS,JMK,2025/07/09,3,1676.01,178.54
228,NICE,NCE,IBIZA,IBZ,2025/07/09,3,718.18,167.42
229,NICE,NCE,ROME,FCO,2025/07/09,3,472.86,71.68
230,MAJORCA,PMI,MYKONOS,JMK,2025/07/05,3,1966.68,216.91
231,MYKONOS,JMK,NICE,NCE,2025/07/09,3,1676.01,177.81
232,NICE,NCE,IBIZA,IBZ,2025/07/13,3,718.18,171.32
233,NICE,NCE,ROME,FCO,2025/07/13,3,472.86,93.68
234,IBIZA,IBZ,NICE,NCE,2025/07/13,3,718.18,187.06
235,NICE,NCE,ROME,FCO,2025/07/17,3,472.86,71.68
236,ROME,FCO,NICE,NCE,2025/07/17,3,472.86,66.99
237,NICE,NCE,PARIS,CDG,2025/07/21,3,685.8,82.68
238,ROME,FCO,NICE,NCE,2025/07/13,3,472.86,66.99
239,NICE,NCE,IBIZA,IBZ,2025/07/17,3,718.18,171.32
240,IBIZA,IBZ,NICE,NCE,2025/07/17,3,718.18,129.98
241,MAJORCA,PMI,IBIZA,IBZ,2025/07/05,3,146.06,57.78
242,IBIZA,IBZ,NICE,NCE,2025/07/09,3,718.18,129.98
243,NICE,NCE,MYKONOS,JMK,2025/07/13,3,1676.01,178.29
244,MYKONOS,JMK,NICE,NCE,2025/07/13,3,1676.01,211.18
245,NICE,NCE,MYKONOS,JMK,2025/07/17,3,1676.01,210.91
246,MYKONOS,JMK,NICE,NCE,2025/07/17,3,1676.01,201.02
247,MAJORCA,PMI,ROME,FCO,2025/07/05,3,849.14,66.32
248,ROME,FCO,NICE,NCE,2025/07/09,3,472.86,66.99
249,PARIS,CDG,MYKONOS,JMK,2025/07/01,3,2243.97,195.60
250,MYKONOS,JMK,NICE,NCE,2025/07/05,3,1676.01,217.10
251,NICE,NCE,MAJORCA,PMI,2025/07/09,3,582.39,183.92
252,MYKONOS,JMK,MAJORCA,PMI,2025/07/05,3,1966.68,200.92
253,MAJORCA,PMI,NICE,NCE,2025/07/09,3,582.39,128.84
254,MYKONOS,JMK,IBIZA,IBZ,2025/07/05,3,2096.16,182.49
255,NICE,NCE,MAJORCA,PMI,2025/07/13,3,582.39,180.29
256,MAJORCA,PMI,NICE,NCE,2025/07/13,3,582.39,153.30
257,NICE,NCE,MAJORCA,PMI,2025/07/17,3,582.39,163.10
258,MAJORCA,PMI,NICE,NCE,2025/07/17,3,582.39,128.84
259,MYKONOS,JMK,ROME,FCO,2025/07/05,3,1205.72,141.10
260,PARIS,CDG,IBIZA,IBZ,2025/07/01,3,1101.1,178.25
261,IBIZA,IBZ,NICE,NCE,2025/07/05,3,718.18,141.56
262,IBIZA,IBZ,MAJORCA,PMI,2025/07/05,3,146.06,57.52
263,IBIZA,IBZ,MYKONOS,JMK,2025/07/05,3,2096.16,212.05
264,IBIZA,IBZ,ROME,FCO,2025/07/05,3,993.92,95.55
265,PARIS,CDG,ROME,FCO,2025/07/01,3,1106.97,101.61
266,ROME,FCO,NICE,NCE,2025/07/05,3,472.86,66.99
267,ROME,FCO,MAJORCA,PMI,2025/07/05,3,849.14,152.15
268,ROME,FCO,MYKONOS,JMK,2025/07/05,3,1205.72,200.98
269,ROME,FCO,IBIZA,IBZ,2025/07/05,3,993.92,134.35
270,PARIS,CDG,NICE,NCE,2025/08/01,4,685.8,251.25
271,NICE,NCE,MAJORCA,PMI,2025/08/05,4,582.39,212.91
272,MAJORCA,PMI,IBIZA,IBZ,2025/08/09,4,146.06,57.78
273,IBIZA,IBZ,MYKONOS,JMK,2025/08/13,4,2096.16,274.88
274,MYKONOS,JMK,ROME,FCO,2025/08/17,4,1205.72,141.10
275,ROME,FCO,PARIS,CDG,2025/08/21,4,1106.97,147.22
276,IBIZA,IBZ,ROME,FCO,2025/08/13,4,993.92,144.55
277,ROME,FCO,MYKONOS,JMK,2025/08/17,4,1205.72,164.98
278,MYKONOS,JMK,PARIS,CDG,2025/08/21,4,2243.97,172.10
279,MAJORCA,PMI,MYKONOS,JMK,2025/08/09,4,1966.68,216.91
280,MYKONOS,JMK,IBIZA,IBZ,2025/08/13,4,2096.16,211.18
281,IBIZA,IBZ,ROME,FCO,2025/08/17,4,993.92,195.44
282,MYKONOS,JMK,ROME,FCO,2025/08/13,4,1205.72,141.10
283,ROME,FCO,IBIZA,IBZ,2025/08/17,4,993.92,208.96
284,IBIZA,IBZ,PARIS,CDG,2025/08/21,4,1101.1,215.65
285,MAJORCA,PMI,ROME,FCO,2025/08/09,4,849.14,93.15
286,ROME,FCO,IBIZA,IBZ,2025/08/13,4,993.92,188.71
287,IBIZA,IBZ,MYKONOS,JMK,2025/08/17,4,2096.16,548.68
288,ROME,FCO,MYKONOS,JMK,2025/08/13,4,1205.72,151.98
289,MYKONOS,JMK,IBIZA,IBZ,2025/08/17,4,2096.16,193.02
290,NICE,NCE,IBIZA,IBZ,2025/08/05,4,718.18,155.04
291,IBIZA,IBZ,MAJORCA,PMI,2025/08/09,4,146.06,57.52
292,MAJORCA,PMI,MYKONOS,JMK,2025/08/13,4,1966.68,197.10
293,MAJORCA,PMI,ROME,FCO,2025/08/13,4,849.14,93.15
294,IBIZA,IBZ,MYKONOS,JMK,2025/08/09,4,2096.16,212.05
295,MYKONOS,JMK,MAJORCA,PMI,2025/08/13,4,1966.68,183.56
296,MAJORCA,PMI,ROME,FCO,2025/08/17,4,849.14,93.15
297,ROME,FCO,MAJORCA,PMI,2025/08/17,4,849.14,105.46
298,MAJORCA,PMI,PARIS,CDG,2025/08/21,4,1028.31,197.98
299,IBIZA,IBZ,ROME,FCO,2025/08/09,4,993.92,195.44
300,ROME,FCO,MAJORCA,PMI,2025/08/13,4,849.14,105.46
301,MAJORCA,PMI,MYKONOS,JMK,2025/08/17,4,1966.68,197.10
302,MYKONOS,JMK,MAJORCA,PMI,2025/08/17,4,1966.68,200.65
303,NICE,NCE,MYKONOS,JMK,2025/08/05,4,1676.01,178.54
304,MYKONOS,JMK,MAJORCA,PMI,2025/08/09,4,1966.68,200.92
305,MAJORCA,PMI,IBIZA,IBZ,2025/08/13,4,146.06,49.78
306,MYKONOS,JMK,IBIZA,IBZ,2025/08/09,4,2096.16,195.92
307,IBIZA,IBZ,MAJORCA,PMI,2025/08/13,4,146.06,49.52
308,MYKONOS,JMK,ROME,FCO,2025/08/09,4,1205.72,141.10
309,MAJORCA,PMI,IBIZA,IBZ,2025/08/17,4,146.06,57.78
310,IBIZA,IBZ,MAJORCA,PMI,2025/08/17,4,146.06,57.46
311,NICE,NCE,ROME,FCO,2025/08/05,4,472.86,127.50
312,ROME,FCO,MAJORCA,PMI,2025/08/09,4,849.14,189.60
313,ROME,FCO,IBIZA,IBZ,2025/08/09,4,993.92,173.85
314,ROME,FCO,MYKONOS,JMK,2025/08/09,4,1205.72,151.98
315,PARIS,CDG,MAJORCA,PMI,2025/08/01,4,1028.31,154.93
316,MAJORCA,PMI,NICE,NCE,2025/08/05,4,582.39,181.29
317,NICE,NCE,IBIZA,IBZ,2025/08/09,4,718.18,172.40
318,NICE,NCE,MYKONOS,JMK,2025/08/09,4,1676.01,192.54
319,NICE,NCE,ROME,FCO,2025/08/09,4,472.86,160.40
320,MAJORCA,PMI,IBIZA,IBZ,2025/08/05,4,146.06,49.78
321,IBIZA,IBZ,NICE,NCE,2025/08/09,4,718.18,183.43
322,NICE,NCE,MYKONOS,JMK,2025/08/13,4,1676.01,178.54
323,NICE,NCE,ROME,FCO,2025/08/13,4,472.86,170.18
324,MYKONOS,JMK,NICE,NCE,2025/08/13,4,1676.01,211.18
325,NICE,NCE,ROME,FCO,2025/08/17,4,472.86,168.87
326,ROME,FCO,NICE,NCE,2025/08/17,4,472.86,66.99
327,NICE,NCE,PARIS,CDG,2025/08/21,4,685.8,82.68
328,ROME,FCO,NICE,NCE,2025/08/13,4,472.86,66.99
329,NICE,NCE,MYKONOS,JMK,2025/08/17,4,1676.01,178.29
330,MYKONOS,JMK,NICE,NCE,2025/08/17,4,1676.01,211.18
331,MAJORCA,PMI,MYKONOS,JMK,2025/08/05,4,1966.68,201.38
332,MYKONOS,JMK,NICE,NCE,2025/08/09,4,1676.01,201.02
333,NICE,NCE,IBIZA,IBZ,2025/08/13,4,718.18,189.40
334,IBIZA,IBZ,NICE,NCE,2025/08/13,4,718.18,210.97
335,NICE,NCE,IBIZA,IBZ,2025/08/17,4,718.18,182.29
336,IBIZA,IBZ,NICE,NCE,2025/08/17,4,718.18,187.06
337,MAJORCA,PMI,ROME,FCO,2025/08/05,4,849.14,93.15
338,ROME,FCO,NICE,NCE,2025/08/09,4,472.86,66.99
339,PARIS,CDG,IBIZA,IBZ,2025/08/01,4,1101.1,178.25
340,IBIZA,IBZ,NICE,NCE,2025/08/05,4,718.18,139.55
341,NICE,NCE,MAJORCA,PMI,2025/08/09,4,582.39,180.29
342,IBIZA,IBZ,MAJORCA,PMI,2025/08/05,4,146.06,49.52
343,MAJORCA,PMI,NICE,NCE,2025/08/09,4,582.39,181.29
344,IBIZA,IBZ,MYKONOS,JMK,2025/08/05,4,2096.16,212.05
345,NICE,NCE,MAJORCA,PMI,2025/08/13,4,582.39,183.92
346,MAJORCA,PMI,NICE,NCE,2025/08/13,4,582.39,187.98
347,NICE,NCE,MAJORCA,PMI,2025/08/17,4,582.39,180.29
348,MAJORCA,PMI,NICE,NCE,2025/08/17,4,582.39,181.29
349,IBIZA,IBZ,ROME,FCO,2025/08/05,4,993.92,183.43
350,PARIS,CDG,MYKONOS,JMK,2025/08/01,4,2243.97,172.60
351,MYKONOS,JMK,NICE,NCE,2025/08/05,4,1676.01,1473.63
352,MYKONOS,JMK,MAJORCA,PMI,2025/08/05,4,1966.68,221.64
